Index,idADB,Name,Date,Time,ZoneAbbrev,ZoneTime,Place,Country,Latitude,Longitude,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ascendant,Midheaven
15,193,Jonas Salk,28 Oct 1914,7:30,,+5:00,New York,United States,40N43,074W00,214.249030088166,334.250651477742,232.889792851176,250.567220877298,230.087628702176,313.048617830001,92.1768204911538,307.730099135855,120.447007235037,92.1089820153341,226.840526316623,147.302849313843
20,142,Linus Pauling,28 Feb 1901,22:00,,+8:00,Portland,United States,45N31,122W41,339.984366984368,112.755162341132,351.505876472229,324.560747136829,150.212855326588,277.797066369565,283.956617133634,256.701349505929,86.4569844805523,75.6846949964591,206.870981663955,123.3559436562
42,283,Corazon Aquino,25 Jan 1933,21:45,,-8:00,Manila,Philippines,14N35,121E00,305.166692497681,299.886175290677,296.154968254615,283.932768533052,170.153053976578,172.780002032582,306.912861223663,19.7746733088069,159.675240311389,112.085272771489,181.627275321036,91.5242854457695
301,59055,Sachin Tendulkar,24 Apr 1973,13:00,,-5:30,Bombay,India,18N58,072E50,33.980310659615,288.084479723133,10.2134507255229,37.7460885503173,320.190979903569,310.082864410297,77.747956878827,200.470409233437,246.905238337024,182.263883426381,131.245608290397,39.9265990027534
389,11144,George Foreman,10 Jan 1949,21:15,,+6:00,Marshall,United States,32N33,094W22,290.586713821871,62.0283952481009,307.373447591294,267.202876938275,305.021771607213,282.718852960081,155.631029972813,87.6453837303922,195.167845346233,135.93161696001,158.462324710217,66.5432963182767
398,74943,Emmanuelle Charpentier,11 Dec 1968,12:00,,-1:00,Juvisy sur Orge,France,48N41,002E23,259.481197650172,151.044142631436,261.900575884245,301.790710104433,199.292487226086,183.629838058392,18.7886490299618,183.644721460323,237.104413817916,175.035026288902,316.082333645243,249.290377414282
652,4627,Gian Carlo Menotti,7 Jul 1911,7:20,,-1:00,Varese,Italy,45N48,008E48,104.017157134214,237.377773727781,107.890779627141,149.493180353922,24.3393797095587,214.695323112078,47.4694873258393,297.927031053034,111.000699183021,87.8474168419466,133.498857447951,29.996677159057
686,83964,Ramsey Clark,18 Dec 1927,12:30,,+6:00,Dallas,United States,32N47,096W48,265.848712819253,206.050107371449,254.066378685216,221.121474908307,247.318717756279,355.025245434337,251.990655242328,359.52801334788,149.11364764498,106.485698436186,355.577280362151,267.315446967326
995,91551,Eazy-E,7 Sep 1964,20:10,,+7:00,Harbor City,United States,33N47,118W18,165.492832181988,189.939814084813,155.248110447062,119.926504964753,115.583398320837,56.055070379666,330.601870366475,160.770951860155,225.545316611743,164.040530511643,9.82396516165319,275.892057243511
1019,19599,Dennis Rodman,13 May 1961,0:10,,+4:00,Trenton,United States,40N13,074W45,52.1622301875728,33.2392050791412,65.0446206613763,14.9399678259039,123.719309228006,306.903128847198,299.845176656441,141.740386304144,219.611253062915,155.54227907507,286.623526024043,220.857698570815
2186,26535,John Stossel,6 Mar 1947,8:43,,+6:00,Chicago,United States,41N51,087W39,345.191143853098,158.310804458719,349.732903977023,301.606155436939,331.507573258582,237.466510033341,122.659762571294,77.7860888175431,190.087800616217,131.473457499928,43.9708640830491,294.667154524798
2263,104076,Jacques Vallée,24 Sep 1939,0:01,,-1:00,Pontoise,France,49N03,002E06,180.007893327631,309.247930076382,181.143527639842,184.876010033006,299.966506432968,4.28080938668887,29.8920268226693,51.6843182888127,173.330095169497,122.551342091609,106.296185724337,348.293226367261
2352,101712,Josh Allen,21 May 1996,18:58,,+7:00,Fresno,United States,36N45,119W46,61.2659429840282,112.826254145374,50.8017616499771,88.2319464694702,44.3763383622818,287.180825191074,4.74365703079209,304.511721896132,297.617516179487,241.754896987185,228.65705162452,147.519695078896
2429,95740,John Lackey,23 Oct 1978,14:14,,+5:00,Abilene,United States,32N27,099W44,210.025487851131,117.614423238061,224.809657491589,232.171679148139,233.402569706922,127.341032736737,160.662849333237,225.688673880182,256.389563252812,197.130822516567,294.3951282801,223.065556791112
2700,100326,Dream,12 Aug 1999,20:00,,+4:00,Orlando,United States,28N32,081W23,139.827592013619,159.421462308337,121.215483880605,151.404785252606,227.693877109259,34.7457578987845,46.924572091586,314.607924783306,302.507368297336,247.747929019248,318.663347993086,241.714682451179
3488,17082,Michael Ray Richardson,11 Apr 1955,8:45,,+6:00,Lubbock,United States,33N35,101W51,20.9395397006378,248.891332599373,8.96380140993482,344.424116726799,60.4400996266829,110.919417230712,229.822135603663,113.63989549182,207.042802147747,144.44896422193,65.2792649650171,315.977712535208
4262,97600,K. J. Wright,23 Jul 1989,16:38,,+5:00,Memphis,United States,35N09,090W03,120.989564262855,8.90285224200244,127.29570693716,149.804531161496,143.292550160026,88.5237362174839,279.102301237361,272.230459758473,280.450489940626,222.366717839142,251.008294786439,175.692611601205
4624,74818,Christian Chávez,7 Aug 1983,15:30,,+6:00,Reynosa,Mexico,26N07,098W18,134.800514397839,121.822648071647,159.552409111237,159.173983828285,116.232745433786,241.209596488711,208.846950965134,245.087459397579,266.72022151945,206.988565239202,258.997013366221,180.040487589223
